INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA insid 1080,INSTITUTIONS*NAME_CLASS*U,Sant Feliu de Guíxols,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1011,,,,,,,,,,,,,,,,,BITECA bibid 3074,,350,,,,,,,,,,,,,,,benedictins,,1991-05-31,AVENOZA,2008-10-09,ROVIRA,,,,,Girona: Sant Feliu de Guíxols
BITECA insid 1081,INSTITUTIONS*NAME_CLASS*U,Col·legi o convent de la Companyia de Jesús no identificat,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1545,,,,,INSTITUTIONS*CLASS*SCHOOL,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"el convent va romandre a la Rambla fins al 1767, any de l’expulsió de la companyia",,1991-05-31,AVENOZA,2024-04-17,TRIADO,,,,,Barcelona: Col·legi o convent de la Companyia de Jesús no identificat
BITECA insid 1082,INSTITUTIONS*NAME_CLASS*U,Convent de la Mercè,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1218,ca.,,,,INSTITUTIONS*CLASS*MONASTERY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,BITECA bibid 2834,,212,,,,,,,,,,,,,,,"La primera casa estigué contígua al Palau Reial de Barcelona; el 1232 passaren al nou Monestir del carre Ample. BUB Mss. 1500 i 1501 contenen els índexs generals de la biblioteca. A la seva biblioteca hi havia uns 6.000 volums, però pocs eren manuscrits",,1991-05-31,AVENOZA,1998-02-13,AVENOZA,,,,,Barcelona: Convent de la Mercè
BITECA insid 1083,INSTITUTIONS*NAME_CLASS*U,Vegueria de València,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-31,AVENOZA,2024-05-03,SORIANO,,,,,Vegueria de València
BITECA insid 1084,INSTITUTIONS*NAME_CLASS*U,Arxidiòcesi de Tarragona,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-31,AVENOZA,2024-04-02,SORIANO,,,,,Arxidiòcesi de Tarragona
BITECA insid 1085,INSTITUTIONS*NAME_CLASS*U,Arxidiòcesi de Narbona,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-31,AVENOZA,2024-04-02,SORIANO,,,,,Narbonne: Arxidiòcesi de Narbona
BITECA insid 1086,INSTITUTIONS*NAME_CLASS*U,Arxidiòcesi de Malta,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-31,AVENOZA,2024-04-02,SORIANO,,,,,Arxidiòcesi de Malta
BITECA insid 1087,INSTITUTIONS*NAME_CLASS*U,Diòcesi d’Osca,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-31,AVENOZA,2024-04-02,SORIANO,,,,,Diòcesi d’Osca
BITECA insid 1088,INSTITUTIONS*NAME_CLASS*U,Vegueria de Barcelona,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-06-01,AVENOZA,2024-04-02,SORIANO,,,,,Vegueria de Barcelona
BITECA insid 1089,INSTITUTIONS*NAME_CLASS*U,Paeria,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-06-01,AVENOZA,,,,,,,Lleida: Paeria
