GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA geoid 1039,GEOGRAPHY*NAME_CLASS*U,Napoli,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,GEOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 8556,,,Q2634,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-02-02,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q2634,,2024-02-02,Napoli
BITECA geoid 1040,GEOGRAPHY*NAME_CLASS*U,Saragossa,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-11-10,AVENOZA,,,,,Saragossa
BITECA geoid 1041,GEOGRAPHY*NAME_CLASS*U,Monestir de Valldonzella,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1992-07-13,AVENOZA,,,,,Monestir de Valldonzella
BITECA geoid 1042,GEOGRAPHY*NAME_CLASS*U,Valldemossa,,,,,[?],,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1304,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-11-10,AVENOZA,,,,,Valldemossa
BITECA geoid 1043,GEOGRAPHY*NAME_CLASS*U,Tolosa de Llenguadoc,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-11-10,AVENOZA,,,,,Tolosa de Llenguadoc
BITECA geoid 1044,GEOGRAPHY*NAME_CLASS*U,Ripoll,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1991-05-07,AVENOZA,,,,,Ripoll
BITECA geoid 1045,GEOGRAPHY*NAME_CLASS*U,Cagliari,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2008-11-10,AVENOZA,,,,,Cagliari
BITECA geoid 1047,GEOGRAPHY*NAME_CLASS*U,Almería,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,1992-09-26,AVENOZA,,,,,Almería
BITECA geoid 1048,GEOGRAPHY*NAME_CLASS*U,Aix-en-Provence,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-27,AVENOZA,1992-09-13,AVENOZA,,,,,Aix-en-Provence
BITECA geoid 1049,GEOGRAPHY*NAME_CLASS*U,Portugal,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-27,AVENOZA,1990-09-27,AVENOZA,,,,,Portugal (regne)
