GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP geoid 5966,GEOGRAPHY*NAME_CLASS*U,Reguengo de Unhos,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*REG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-26,ASKINS,2024-01-15,ASKINS,,,,,Reguengo de Unhos (reguengo)
BITAGAP geoid 5967,GEOGRAPHY*NAME_CLASS*U,Julgado de Penas Róias,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*JUL,,,,,,,,,,,,,,,,,,,,,,,BITAGAP insid 3225,BITAGAP subid 1494,,,,,,,,2021-02-27,ASKINS,2024-01-18,ASKINS,,,,,Julgado de Penas Róias (julgado)
BITAGAP geoid 5968,GEOGRAPHY*NAME_CLASS*U,Couto de Sande,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*COU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-01,ASKINS,2024-03-02,ASKINS,,,,,Couto de Sande (couto)
BITAGAP geoid 5969,GEOGRAPHY*NAME_CLASS*U,Verderena,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 5209,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-01,ASKINS,2024-03-05,ASKINS,,,,,Verderena
BITAGAP geoid 5970,GEOGRAPHY*NAME_CLASS*U,Campolide,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 5209,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-03,ASKINS,2024-03-05,ASKINS,,,,,Campolide
BITAGAP geoid 5971,GEOGRAPHY*NAME_CLASS*U,Julgado de Aregos,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*JUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-08,ASKINS,2024-01-15,ASKINS,,,,,Julgado de Aregos (julgado)
BITAGAP geoid 5972,GEOGRAPHY*NAME_CLASS*U,Fraguil,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 5971,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-08,ASKINS,2024-03-05,ASKINS,,,,,Fraguil
BITAGAP geoid 5973,GEOGRAPHY*NAME_CLASS*U,Veiras de Fundo,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-08,ASKINS,2024-03-05,ASKINS,,,,,Veiras de Fundo
BITAGAP geoid 5974,GEOGRAPHY*NAME_CLASS*U,Vale do Paraíso,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-08,ASKINS,2024-03-05,ASKINS,,,,,Vale do Paraíso
BITAGAP geoid 5975,GEOGRAPHY*NAME_CLASS*U,mouraria de Setúbal,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*BAI,,,,,,,,,,,,,BITAGAP bibid 23472,78,passim,,,,,,,,,,,,,,,,,2021-03-09,ASKINS,2024-01-13,ASKINS,,,,,mouraria de Setúbal (bairro)
