PNUMBER,LABEL,LANG,TYPE
P749,Watermark,en,wikibase-item
P750,Related object,en,wikibase-item
P751,Subjected,en,wikibase-item
P752,Prisoner of war of,en,wikibase-item
P753,Of importance to,en,wikibase-item
P754,Typology,en,wikibase-item
P755,Column(s),en,string
P756,Fly leaf/ Fly leaves,en,string
P757,Plate(s),en,string
P758,Constitution,en,wikibase-item
P759,Flag,en,commonsMedia
P760,Per,en,wikibase-item
P761,Fictionalises,en,wikibase-item
P762,Fictional appearance in,en,wikibase-item
P763,PRELIB person ID,en,external-id
P764,PRELIB organization ID,en,external-id
P765,ISO 639-3,en,external-id
P766,Minimum,en,quantity
P767,Maximum,en,quantity
P768,GKW-ID,en,external-id
P769,Condition (bibliographical),en,string
P770,State (bibliographical),en,string
P771,Wikidata Item,en,external-id
P772,Deutsche Digitale Bibliothek Person ID,en,external-id
P773,ID 19th-century French printers-lithographers,en,external-id
P774,<Betrothed to>,en,wikibase-item
P775,Opposite property,en,wikibase-property
P776,Business partner of,en,wikibase-item
P777,Blueness of the sky,en,wikibase-item
P778,Physical feature,en,wikibase-item
P779,Commemorative date,en,time
P780,,en,time
P781,Poetic form,en,string
P782,GEPRIS-Historical ID (Person),en,external-id
P783,Rhyme scheme,en,string
P784,Additional name attributes,en,monolingualtext
P785,Precision of begin date,en,wikibase-item
P786,Precision of end date,en,wikibase-item
P787,Precision of begin date <string>,en,string
P788,Precision of end date <string>,en,string
P789,Name ordinal,en,wikibase-item
P790,Musical notation,en,wikibase-item
P791,RI ID,en,external-id
P792,Procedure,en,wikibase-item
P793,Distance between addresses,en,quantity
P794,Fruitbearing Society Member ID,en,external-id
