INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA insid 1400,INSTITUTIONS*NAME_CLASS*U,San Jerónimo de Yuste,,,,,,{I}DHEE{/I},,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 2114,,1408,,,,{I}DHEE{/I},,,,,,,,,,,BETA bibid 1936,I,1230,ç.III.4,,,,,,,,,,,,,,,,2006-09-25,FAULHABER,2022-10-31,FAULHABER,,,,,San Jerónimo de Yuste
BETA insid 1401,INSTITUTIONS*NAME_CLASS*U,Biblioteca de la Facultad de Derecho de la Universidad Complutense,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,INSTITUTIONS*TYPE*PUBL,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-11-23,FAULHABER,2006-11-23,FAULHABER,,,,,Madrid: Biblioteca de la Facultad de Derecho de la Universidad Complutense
BETA insid 1402,INSTITUTIONS*NAME_CLASS*U,Álvarez de Bohorques - Crespí de Valldaura,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*BOOKDEALER,INSTITUTIONS*TYPE*PRIV,INSTITUTIONS*RELATED_GEOCLASS*L,"Caracacas, 21",BETA geoid 1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-05,FAULHABER,2022-09-09,FAULHABER,,,,,Madrid: Álvarez de Bohorques - Crespí de Valldaura
BETA insid 1403,INSTITUTIONS*NAME_CLASS*U,Biblioteca Trivulzio di Milano,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,INSTITUTIONS*TYPE*PRIV,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1850,,,,1935,,,,,,,,,,,,,BETA bibid 4621,,,,,,,,,,,,,,,,,La mayor parte de sus libros y manuscritos fue vendido a la Comune di Milano en 1935,,2006-12-15,FAULHABER,2022-09-13,FAULHABER,,,,,Biblioteca Trivulzio di Milano
BETA insid 1404,INSTITUTIONS*NAME_CLASS*U,Convento de S. João de Estremoz,,,,,,Cid,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 2119,,,,,?,Cid,,,,,,,,,,,BETA bibid 4578,,29,,,,,,,,,,,,,,,,,2007-01-09,FAULHABER,2022-09-13,FAULHABER,,,,,Convento de S. João de Estremoz
BETA insid 1405,INSTITUTIONS*NAME_CLASS*U,Convento de Piedade de Évora,,,,,,Cid,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OFMCAP,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1612,,,,,,Cid,,,,,,,,,,,BETA bibid 4578,,29,,,,,,,,,,,,,,,,,2007-01-10,FAULHABER,2022-09-13,FAULHABER,,,,,Convento de Piedade de Évora
BETA insid 1406,INSTITUTIONS*NAME_CLASS*U,Convento de Nossa Senhora da Consolação do Bosque de Borba,,,,,,Cid,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 2120,,,,,,Cid,,,,,,,,,,,BETA bibid 4578,,29,,,,,,,,,,,,,,,,,2007-01-10,FAULHABER,2022-09-13,FAULHABER,,,,,Convento de Nossa Senhora da Consolação do Bosque de Borba
BETA insid 1407,INSTITUTIONS*NAME_CLASS*U,Colégio da Companhia de Jesus de Portalegre,,,,,,Cid,,,,,,,,,,,INSTITUTIONS*CLASS*COLLEGE,INSTITUTIONS*TYPE*SJ,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 2121,,,,,,Cid,,,,,,,,,,,BETA bibid 4578,,28,,,,,,,,,,,,,,,,,2007-01-17,FAULHABER,2022-09-13,FAULHABER,,,,,Colégio da Companhia de Jesus de Portalegre
BETA insid 1408,INSTITUTIONS*NAME_CLASS*U,Congregação do Oratório de Estremoz,,,,,,Cid,,,,,,,,,,,INSTITUTIONS*CLASS*CHURCH,,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 2119,,,,,,,,,,,,,,,,,BETA bibid 4578,,"28, 36n27",,,,,,,,,,,,,,,,,2007-01-18,FAULHABER,2022-09-13,FAULHABER,,,,,Congregação do Oratório de Estremoz
BETA insid 1409,INSTITUTIONS*NAME_CLASS*U,Nuestra Señora de la Concepción de Valladolid,,,,,,Évora BP CXXIVd/2-12,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OFM,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1028,,,,,,Évora BP CXXIVd/2-12,,,,,,,,,,,,,,,INSTITUTIONS*RELATED_MANCLASS*TRA,BETA manid 3605,,13r,,,,,,,,,,,,2007-01-21,FAULHABER,2022-09-13,FAULHABER,,,,,Nuestra Señora de la Concepción de Valladolid
