FG qid,Lpt
https://database.factgrid.de/entity/Q357825,Arcos e Mogofores
https://database.factgrid.de/entity/Q357831,Arcozelo
https://database.factgrid.de/entity/Q357832,Arcozelo
https://database.factgrid.de/entity/Q357833,Arcozelo
https://database.factgrid.de/entity/Q357830,Arcozelo
https://database.factgrid.de/entity/Q357829,Arcozelo das Maias
https://database.factgrid.de/entity/Q357834,Arcozelos
https://database.factgrid.de/entity/Q357835,Ardãos e Bobadela
https://database.factgrid.de/entity/Q357836,"Ardegão, Arnozela e Seidões"
https://database.factgrid.de/entity/Q357837,"Ardegão, Freixo e Mato"
https://database.factgrid.de/entity/Q357838,Areeiro (Lisbon)
https://database.factgrid.de/entity/Q357839,Arega
https://database.factgrid.de/entity/Q357843,Areias
https://database.factgrid.de/entity/Q357840,Areias de Vilar e Encourados
https://database.factgrid.de/entity/Q357841,Areias e Pias
https://database.factgrid.de/entity/Q357842,"Areias, Sequeiró, Lama e Palmeira"
https://database.factgrid.de/entity/Q357844,Arentim e Cunha
https://database.factgrid.de/entity/Q357845,Areosa
https://database.factgrid.de/entity/Q357846,Arez e Amieira do Tejo
https://database.factgrid.de/entity/Q357847,"Arga (Baixo, Cima e São João)"
https://database.factgrid.de/entity/Q357849,Arganil
https://database.factgrid.de/entity/Q357848,Arganil
https://database.factgrid.de/entity/Q357850,Argela
https://database.factgrid.de/entity/Q357851,Argoncilhe
https://database.factgrid.de/entity/Q357852,Argozelo
https://database.factgrid.de/entity/Q357853,Aricera e Goujoim
https://database.factgrid.de/entity/Q357854,Armação de Pêra
https://database.factgrid.de/entity/Q357856,Armamar
https://database.factgrid.de/entity/Q357855,Armamar
https://database.factgrid.de/entity/Q357857,Armil
https://database.factgrid.de/entity/Q357858,Arnas
https://database.factgrid.de/entity/Q357859,Arneiro das Milhariças
https://database.factgrid.de/entity/Q357860,Arnoia
https://database.factgrid.de/entity/Q357861,Arnoso (Santa Maria e Santa Eulália) e Sezures
https://database.factgrid.de/entity/Q357864,Arões
https://database.factgrid.de/entity/Q357862,Arões (Santa Cristina)
https://database.factgrid.de/entity/Q357863,Arões (São Romão)
https://database.factgrid.de/entity/Q357865,Arosa e Castelões
https://database.factgrid.de/entity/Q357867,Arouca
https://database.factgrid.de/entity/Q357866,Arouca e Burgo
https://database.factgrid.de/entity/Q357868,Arrabal
https://database.factgrid.de/entity/Q357870,Arraiolos
https://database.factgrid.de/entity/Q357869,Arraiolos
https://database.factgrid.de/entity/Q357871,Arranhó
https://database.factgrid.de/entity/Q357873,Arrifana
https://database.factgrid.de/entity/Q357872,Arrifana
https://database.factgrid.de/entity/Q357874,Arrifana
https://database.factgrid.de/entity/Q357875,Arrifes
https://database.factgrid.de/entity/Q357876,Arrimal e Mendiga
https://database.factgrid.de/entity/Q357877,Arroios
https://database.factgrid.de/entity/Q357878,Arroios
https://database.factgrid.de/entity/Q357879,Arronches
https://database.factgrid.de/entity/Q357880,Arrouquelas
https://database.factgrid.de/entity/Q357881,Arruda dos Vinhos
https://database.factgrid.de/entity/Q357882,Arruda dos Vinhos
https://database.factgrid.de/entity/Q357883,Árvore
https://database.factgrid.de/entity/Q357884,Assafarge e Antanhol
https://database.factgrid.de/entity/Q357885,Assares e Lodões
https://database.factgrid.de/entity/Q357887,Asseiceira
https://database.factgrid.de/entity/Q357886,Asseiceira
https://database.factgrid.de/entity/Q357888,Assentis
https://database.factgrid.de/entity/Q357889,Associação de Freguesias do Vale do Neiva
https://database.factgrid.de/entity/Q357890,Assumar
https://database.factgrid.de/entity/Q357892,Assunção
https://database.factgrid.de/entity/Q357891,"Assunção, Ajuda, Salvador e Santo Ildefonso"
https://database.factgrid.de/entity/Q357893,Astromil
https://database.factgrid.de/entity/Q357894,Atães e Rendufe
https://database.factgrid.de/entity/Q357897,Atalaia
https://database.factgrid.de/entity/Q357895,Atalaia e Alto Estanqueiro-Jardia
https://database.factgrid.de/entity/Q357896,Atalaia e Safurdão
https://database.factgrid.de/entity/Q357898,Atei
https://database.factgrid.de/entity/Q357899,Atiães
https://database.factgrid.de/entity/Q357901,Atouguia
https://database.factgrid.de/entity/Q357900,Atouguia da Baleia
https://database.factgrid.de/entity/Q357902,Avanca
https://database.factgrid.de/entity/Q357903,Avantos e Romeu
https://database.factgrid.de/entity/Q357904,Aveiras de Baixo
https://database.factgrid.de/entity/Q357905,Aveiras de Cima
https://database.factgrid.de/entity/Q357906,Aveiro
https://database.factgrid.de/entity/Q357907,Aveiro
https://database.factgrid.de/entity/Q357908,Avelal
https://database.factgrid.de/entity/Q357909,Avelar
https://database.factgrid.de/entity/Q357910,Avelãs da Ribeira
https://database.factgrid.de/entity/Q357911,Avelãs de Ambom e Rocamondo
https://database.factgrid.de/entity/Q357912,Avelãs de Caminho
https://database.factgrid.de/entity/Q357913,Avelãs de Cima
https://database.factgrid.de/entity/Q357915,Aveleda
https://database.factgrid.de/entity/Q357916,Aveleda
https://database.factgrid.de/entity/Q357914,Aveleda e Rio de Onor
https://database.factgrid.de/entity/Q357917,Aveloso
https://database.factgrid.de/entity/Q357918,Avenidas Novas (Lisbon)
https://database.factgrid.de/entity/Q357919,Avessadas e Rosém
https://database.factgrid.de/entity/Q357920,"Avidagos, Navalho e Pereira"
https://database.factgrid.de/entity/Q357921,Avidos e Lagoa
https://database.factgrid.de/entity/Q357922,Avintes
https://database.factgrid.de/entity/Q357923,Avis
https://database.factgrid.de/entity/Q357924,Avis
https://database.factgrid.de/entity/Q357925,Avô
https://database.factgrid.de/entity/Q357926,Avões
https://database.factgrid.de/entity/Q357927,Azambuja
https://database.factgrid.de/entity/Q357928,Azambuja
https://database.factgrid.de/entity/Q357929,Azambujeira e Malaqueijo
https://database.factgrid.de/entity/Q357930,Azeitão (São Lourenço e São Simão)
https://database.factgrid.de/entity/Q357932,Ázere
https://database.factgrid.de/entity/Q357931,Ázere e Covelo
https://database.factgrid.de/entity/Q357933,Azias
https://database.factgrid.de/entity/Q357934,Azinhaga
https://database.factgrid.de/entity/Q357936,Azinhal
https://database.factgrid.de/entity/Q357935,"Azinhal, Peva e Valverde"
https://database.factgrid.de/entity/Q357937,Azinheira dos Barros e São Mamede do Sádão
https://database.factgrid.de/entity/Q357938,Azinhoso
https://database.factgrid.de/entity/Q357939,Azoia de Cima e Tremês
https://database.factgrid.de/entity/Q357940,Azueira e Sobral da Abelheira
https://database.factgrid.de/entity/Q357941,Azurara
https://database.factgrid.de/entity/Q357942,Azurém
https://database.factgrid.de/entity/Q357943,Babe
https://database.factgrid.de/entity/Q357944,Baçal
https://database.factgrid.de/entity/Q357945,Bacelo e Senhora da Saúde
https://database.factgrid.de/entity/Q357946,Baguim do Monte
https://database.factgrid.de/entity/Q357947,"Bagunte, Ferreiró, Outeiro Maior e Parada"
https://database.factgrid.de/entity/Q357949,Baião
https://database.factgrid.de/entity/Q357948,Baião (Santa Leocádia) e Mesquinhata
https://database.factgrid.de/entity/Q357950,Bairro
https://database.factgrid.de/entity/Q357951,Baixa da Banheira e Vale da Amoreira
https://database.factgrid.de/entity/Q357952,Bajouca
https://database.factgrid.de/entity/Q357953,Balança
https://database.factgrid.de/entity/Q357954,Balasar
https://database.factgrid.de/entity/Q357955,Baldos
